Index | Source Path | Destination Path | Source SHA-256 | Destination Staged SHA-256 | Byte-For-Byte Hash Match | Verification Status
21 | experiments/slice-0/audit/EVALUATION.md | research/legacy-evidence/failed-slice-0/EVALUATION.md | 6dad1d65db65129450b6eb58796e16f1af005d4a97bb742d6eb74a0d07e1f60f | 6dad1d65db65129450b6eb58796e16f1af005d4a97bb742d6eb74a0d07e1f60f | YES | VERIFIED-MATCH
22 | experiments/slice-0/logs/beads/beads_execution.log | research/legacy-evidence/failed-slice-0/beads_execution.log | 18f3b3228e73b0b2ea66e9f8301c6e61621ab427f8855aa1b28f09eb8f604353 | 18f3b3228e73b0b2ea66e9f8301c6e61621ab427f8855aa1b28f09eb8f604353 | YES | VERIFIED-MATCH
23 | experiments/slice-0/logs/beads/issue_graph.json | research/legacy-evidence/failed-slice-0/issue_graph.json | 8eb0bea59285e6b37d60d7e84d4f67025016b1e2ae6c95487321fb6975c86b60 | 8eb0bea59285e6b37d60d7e84d4f67025016b1e2ae6c95487321fb6975c86b60 | YES | VERIFIED-MATCH
24 | experiments/slice-0/s0/S0_REPORT.md | research/legacy-evidence/failed-slice-0/S0_REPORT.md | cc0a7da6131f6cb07971ef414512d9da95f2b183c0f68b2951e783b6d499b107 | cc0a7da6131f6cb07971ef414512d9da95f2b183c0f68b2951e783b6d499b107 | YES | VERIFIED-MATCH
25 | experiments/slice-0/s1/compiler.js | research/legacy-evidence/failed-slice-0/compiler.js | 1eae30d10cba534aebb8d0bc5a1d3e3f33057ae1b9dca0ae90e216e2bf307203 | 1eae30d10cba534aebb8d0bc5a1d3e3f33057ae1b9dca0ae90e216e2bf307203 | YES | VERIFIED-MATCH
26 | experiments/slice-0/s1/real_parser.js | research/legacy-evidence/failed-slice-0/real_parser.js | fa20349d88723ec5626ae326d199d7d7b1b39062a6da3f023d9fece310c7c56a | fa20349d88723ec5626ae326d199d7d7b1b39062a6da3f023d9fece310c7c56a | YES | VERIFIED-MATCH
27 | experiments/slice-0/s1/generic_section_parser.js | research/legacy-evidence/failed-slice-0/generic_section_parser.js | 642b4af59485d8a9822754c18a1e547b47d9ca8688696e2aac73f37fd8a76102 | 642b4af59485d8a9822754c18a1e547b47d9ca8688696e2aac73f37fd8a76102 | YES | VERIFIED-MATCH
28 | experiments/slice-0/s1/world/CURRENT_STATE.md | research/legacy-evidence/failed-slice-0/CURRENT_STATE.md | 32d333a2453a9aa1e0e33b9ea69b4747be511108d63cb14e77c887cd5a45a46c | 32d333a2453a9aa1e0e33b9ea69b4747be511108d63cb14e77c887cd5a45a46c | YES | VERIFIED-MATCH
29 | experiments/slice-0/runs/beads-clean-001/operator/command-log.jsonl | research/legacy-evidence/failed-slice-0/beads-clean-001/command-log.jsonl | fa09d4ff7d0fade82e7eeb18e9883e81c4cdbc0e50c7063bab23faba5638b933 | fa09d4ff7d0fade82e7eeb18e9883e81c4cdbc0e50c7063bab23faba5638b933 | YES | VERIFIED-MATCH
30 | experiments/slice-0/runs/beads-clean-001/operator/issue-graph-final.json | research/legacy-evidence/failed-slice-0/beads-clean-001/issue-graph-final.json | 5a738e37de296db977dda100dd202515d8f6c5a83adbb180d6d1b80f0d79c718 | 5a738e37de296db977dda100dd202515d8f6c5a83adbb180d6d1b80f0d79c718 | YES | VERIFIED-MATCH
31 | experiments/slice-0/runs/beads-clean-001/world/WORK_STATE.md | research/legacy-evidence/failed-slice-0/beads-clean-001/WORK_STATE.md | 8f7511b608871a55145ebdc7cdf98412809cdeb9d0d362fe19a44edf2ba66cf2 | 8f7511b608871a55145ebdc7cdf98412809cdeb9d0d362fe19a44edf2ba66cf2 | YES | VERIFIED-MATCH
