[Migration Verification Script Execution]
Timestamp: 2026-08-03T18:47:40.531Z
Legacy Repo Root: F:\nexus-p0-controlled-bootstrap
Reform Lab Root: F:\nexus-reform-lab
Manifest Entry Count: 31
--------------------------------------------------------------------------------
[Item 12/31] research/audit/local-world-census-completeness.md -> research/legacy-evidence/local-world/local-world-census-completeness.md | Source SHA: 085bee17ae04feff7cdaa37b97f3cf3a750e992b861cb8c5bb92baa4da63ab46 | Record SHA: 085bee17ae04feff7cdaa37b97f3cf3a750e992b861cb8c5bb92baa4da63ab46 | Status: VERIFIED-MATCH
[Item 13/31] research/audit/local-world-safety-stop-status.md -> research/legacy-evidence/local-world/local-world-safety-stop-status.md | Source SHA: 9dec9290323f10a4177ee731595edce408e0dbf1384ca62669a4a36ec1e57468 | Record SHA: 9dec9290323f10a4177ee731595edce408e0dbf1384ca62669a4a36ec1e57468 | Status: VERIFIED-MATCH
[Item 14/31] research/findings/prior-art-probe-comparison.md -> research/legacy-evidence/wheel-probes/prior-art-probe-comparison.md | Source SHA: b6171a5657f09cd4c4836cbb26022d59f63addec9c2bc5e38c113289907808e2 | Record SHA: b6171a5657f09cd4c4836cbb26022d59f63addec9c2bc5e38c113289907808e2 | Status: VERIFIED-MATCH
[Item 15/31] research/audit/prior-art-probe-evidence-status.md -> research/legacy-evidence/wheel-probes/prior-art-probe-evidence-status.md | Source SHA: 7d9f9ca7f7c7ad6a4b8546214b8be4ba347a06b88f9d8f5ab1cbf3c30e469551 | Record SHA: 7d9f9ca7f7c7ad6a4b8546214b8be4ba347a06b88f9d8f5ab1cbf3c30e469551 | Status: VERIFIED-MATCH
[Item 16/31] probes/beads/package.json -> research/legacy-evidence/wheel-probes/beads/package.json | Source SHA: a56e1815b8ef1c6d94547df07182ae69bef6ab7770d3a5c1462d4cec621ed1cd | Record SHA: a56e1815b8ef1c6d94547df07182ae69bef6ab7770d3a5c1462d4cec621ed1cd | Status: VERIFIED-MATCH
[Item 17/31] probes/go-workflows/go.mod -> research/legacy-evidence/wheel-probes/go-workflows/go.mod | Source SHA: 5ec733e3847f9ba0c058fd4886255a94130a466f4e9ef04c19835f26421c3a3e | Record SHA: 5ec733e3847f9ba0c058fd4886255a94130a466f4e9ef04c19835f26421c3a3e | Status: VERIFIED-MATCH
[Item 18/31] probes/restate/package.json -> research/legacy-evidence/wheel-probes/restate/package.json | Source SHA: f32dcb69aff856decffa406d50e6652f1469c000327f192b64d6dcc2f9ede160 | Record SHA: f32dcb69aff856decffa406d50e6652f1469c000327f192b64d6dcc2f9ede160 | Status: VERIFIED-MATCH
[Item 19/31] probes/shared_fixture.json -> research/legacy-evidence/wheel-probes/shared_fixture.json | Source SHA: 4e5cae27787c3127a0296f7fb645732927420a2c1a078f9a39b7c70f1effe3be | Record SHA: 4e5cae27787c3127a0296f7fb645732927420a2c1a078f9a39b7c70f1effe3be | Status: VERIFIED-MATCH
[Item 20/31] experiments/slice-0/CORRECTION_NOTE.md -> research/legacy-evidence/failed-slice-0/CORRECTION_NOTE.md | Source SHA: 27f022ccc04e6d622c7595ec494b092447c708cd1e53c609e086d15284daa5be | Record SHA: 27f022ccc04e6d622c7595ec494b092447c708cd1e53c609e086d15284daa5be | Status: VERIFIED-MATCH
[Item 21/31] experiments/slice-0/audit/EVALUATION.md -> research/legacy-evidence/failed-slice-0/EVALUATION.md | Source SHA: 6dad1d65db65129450b6eb58796e16f1af005d4a97bb742d6eb74a0d07e1f60f | Record SHA: 6dad1d65db65129450b6eb58796e16f1af005d4a97bb742d6eb74a0d07e1f60f | Status: VERIFIED-MATCH
[Item 22/31] experiments/slice-0/logs/beads/beads_execution.log -> research/legacy-evidence/failed-slice-0/beads_execution.log | Source SHA: 18f3b3228e73b0b2ea66e9f8301c6e61621ab427f8855aa1b28f09eb8f604353 | Record SHA: 18f3b3228e73b0b2ea66e9f8301c6e61621ab427f8855aa1b28f09eb8f604353 | Status: VERIFIED-MATCH
